Entry date and Time,Car parking slot,Availability
2024-09-15 17:03:29,Free,2
2024-09-15 17:03:31,Free,2
2024-09-15 17:03:34,Free,2
2024-09-15 17:03:37,Free,2
2024-09-15 17:03:39,Free,2
2024-09-15 17:03:41,Free,2
2024-09-15 17:03:44,Free,2
2024-09-15 17:03:46,Free,2
2024-09-15 17:03:49,Free,2
2024-09-15 17:03:51,Free,2
2024-09-15 17:03:53,Free,2
2024-09-15 17:03:55,Free,2
2024-09-15 17:03:58,Free,2
2024-09-15 17:04:01,Free,2
2024-09-15 17:04:03,Free,2
2024-09-15 17:04:05,Free,2
2024-09-15 17:04:08,Free,2
2024-09-15 17:04:10,Free,2
2024-09-15 17:04:13,Free,2
2024-09-15 17:04:15,Free,2
2024-09-15 17:04:18,Free,2
2024-09-15 17:04:20,Free,2
2024-09-15 17:04:23,Free,2
2024-09-15 17:04:25,Free,2
2024-09-15 17:04:27,ir2,1
2024-09-15 17:04:30,Free,2
2024-09-15 17:04:32,Free,2
2024-09-15 17:04:35,Free,2
2024-09-15 17:04:37,Free,2
2024-09-15 17:04:40,Free,2
2024-09-15 17:04:42,Free,2
2024-09-15 17:04:45,Free,2
2024-09-15 17:04:47,Free,2
2024-09-15 17:04:50,Free,2
2024-09-15 17:04:52,Free,2
2024-09-15 17:04:55,Free,2
2024-09-15 17:04:57,Free,2
2024-09-15 17:05:00,Free,2
2024-09-15 17:05:02,Free,2
2024-09-15 17:05:05,Free,2
2024-09-15 17:05:07,Free,2
2024-09-15 17:05:09,Free,2
2024-09-15 17:05:12,Free,2
2024-09-15 17:05:14,Free,2
2024-09-15 17:05:17,Free,2
2024-09-15 17:05:19,Free,2
2024-09-15 17:05:22,Free,2
2024-09-15 17:05:24,Free,2
2024-09-15 17:05:27,Free,2
2024-09-15 17:05:29,Free,2
2024-09-15 17:05:32,Free,2
2024-09-15 17:05:34,Free,2
2024-09-15 17:05:36,Free,2
2024-09-15 17:05:39,Free,2
2024-09-15 17:05:41,Free,2
2024-09-15 17:05:44,Free,2
2024-09-15 17:05:46,Free,2
2024-09-15 17:05:48,Free,2
2024-09-15 17:05:51,Free,2
2024-09-15 17:05:54,Free,2
2024-09-15 17:05:56,Free,2
2024-09-15 17:05:59,Free,2
2024-09-15 17:06:02,Free,2
2024-09-15 17:06:04,Free,2
2024-09-15 17:06:07,Free,2
2024-09-15 17:06:09,Free,2
2024-09-15 17:06:14,Free,2
2024-09-15 17:06:16,ir1,1
2024-09-15 17:06:18,ir1,1
2024-09-15 17:06:21,ir1,1
2024-09-15 17:06:24,ir1,1
2024-09-15 17:06:26,ir1,1
2024-09-15 17:06:28,ir1,1
2024-09-15 17:06:31,ir1,1
2024-09-15 17:06:33,ir1,1
2024-09-15 17:06:36,ir1,1
2024-09-15 17:06:38,ir1,1
2024-09-15 17:06:41,ir1,1
2024-09-15 17:06:43,ir1,1
2024-09-15 17:06:46,ir1,1
2024-09-15 17:06:48,ir1,1
2024-09-15 17:06:51,ir1,1
2024-09-15 17:06:53,ir1,1
2024-09-15 17:06:56,ir1,1
2024-09-15 17:06:58,ir1,1
2024-09-15 17:07:01,ir1,1
2024-09-15 17:07:03,ir1,1
2024-09-15 17:07:06,ir1,1
2024-09-15 17:07:08,ir1,1
2024-09-15 17:07:11,ir1,1
2024-09-15 17:07:13,ir1,1
2024-09-15 17:07:16,Both Full,0
2024-09-15 17:07:18,ir1,1
2024-09-15 17:07:21,Both Full,0
2024-09-15 17:07:23,ir1,1
2024-09-15 17:07:25,Both Full,0
2024-09-15 17:07:28,Both Full,0
2024-09-15 17:07:31,Both Full,0
2024-09-15 17:07:33,Both Full,0
2024-09-15 17:07:36,Both Full,0
2024-09-15 17:07:38,Both Full,0
2024-09-15 17:07:41,Both Full,0
2024-09-15 17:07:44,Both Full,0
2024-09-15 17:07:46,Both Full,0
2024-09-15 17:07:49,Both Full,0
2024-09-15 17:07:51,Both Full,0
2024-09-15 17:07:54,Both Full,0
2024-09-15 17:07:56,Both Full,0
2024-09-15 17:07:58,Both Full,0
2024-09-15 17:08:01,Both Full,0
2024-09-15 17:08:03,Both Full,0
2024-09-15 17:08:06,Both Full,0
2024-09-15 17:08:08,Both Full,0
2024-09-15 17:08:13,Both Full,0
2024-09-15 17:08:15,Both Full,0
2024-09-15 17:08:18,Both Full,0
2024-09-15 17:08:21,Both Full,0
2024-09-15 17:08:23,Both Full,0
2024-09-15 17:08:26,Both Full,0
2024-09-15 17:08:29,Both Full,0
2024-09-15 17:08:31,Both Full,0
2024-09-15 17:08:34,Both Full,0
2024-09-15 17:08:36,Both Full,0
2024-09-15 17:08:38,Both Full,0
2024-09-15 17:08:41,Both Full,0
2024-09-15 17:08:43,Both Full,0
2024-09-15 17:08:46,Both Full,0
2024-09-15 17:08:48,Both Full,0
2024-09-15 17:08:51,Both Full,0
2024-09-15 17:08:54,Both Full,0
2024-09-15 17:08:56,Both Full,0
2024-09-15 17:08:59,Both Full,0
2024-09-15 17:09:01,Both Full,0
2024-09-15 17:09:04,Both Full,0
2024-09-15 17:09:06,Both Full,0
2024-09-15 17:09:10,Both Full,0
2024-09-15 17:09:12,Both Full,0
2024-09-15 17:09:15,Both Full,0
2024-09-15 17:09:17,Both Full,0
2024-09-15 17:09:20,Both Full,0
2024-09-15 17:09:22,Both Full,0
2024-09-15 17:09:25,Both Full,0
2024-09-15 17:09:27,Both Full,0
2024-09-15 17:09:29,Both Full,0
2024-09-15 17:09:31,Both Full,0
2024-09-15 17:09:34,Both Full,0
2024-09-15 17:09:36,Both Full,0
2024-09-15 17:09:39,Both Full,0
2024-09-15 17:09:41,Both Full,0
2024-09-15 17:09:44,Both Full,0
2024-09-15 17:09:46,Both Full,0
2024-09-15 17:09:49,Both Full,0
2024-09-15 17:09:51,Both Full,0
2024-09-15 17:09:54,Both Full,0
2024-09-15 17:09:56,Both Full,0
2024-09-15 17:09:59,Both Full,0
2024-09-15 17:10:01,Both Full,0
2024-09-15 17:10:04,Both Full,0
2024-09-15 17:10:06,Both Full,0
2024-09-15 17:10:09,Both Full,0
2024-09-15 17:10:11,Both Full,0
2024-09-15 17:10:14,Both Full,0
2024-09-15 17:10:16,Both Full,0
2024-09-15 17:10:19,Both Full,0
2024-09-15 17:10:22,Both Full,0
2024-09-15 17:10:24,Both Full,0
2024-09-15 17:10:27,Both Full,0
2024-09-15 17:10:29,Both Full,0
2024-09-15 17:10:31,Both Full,0
2024-09-15 17:10:34,Both Full,0
2024-09-15 17:10:36,Both Full,0
2024-09-15 17:10:38,Both Full,0
2024-09-15 17:10:41,Both Full,0
2024-09-15 17:10:43,Both Full,0
2024-09-15 17:10:45,Both Full,0
2024-09-15 17:10:48,Both Full,0
2024-09-15 17:10:50,Both Full,0
2024-09-15 17:10:53,Both Full,0
2024-09-15 17:10:56,Both Full,0
2024-09-15 17:10:58,Both Full,0
2024-09-15 17:11:27,Both Full,0
2024-09-15 17:11:30,Both Full,0
2024-09-15 17:11:32,Both Full,0
2024-09-15 17:11:34,Both Full,0
2024-09-15 17:11:36,Both Full,0
2024-09-15 17:11:38,Both Full,0
2024-09-15 17:11:42,Both Full,0
2024-09-15 17:11:44,Free,1
2024-09-15 17:11:47,Both Full,0
2024-09-15 17:11:49,Both Full,0
2024-09-15 17:11:52,Both Full,0
2024-09-15 17:11:54,Both Full,0
2024-09-15 17:11:56,Both Full,0
2024-09-15 17:11:59,Both Full,0
2024-09-15 17:12:02,Both Full,0
2024-09-15 17:12:04,Both Full,0
2024-09-15 17:12:07,Both Full,0
2024-09-15 17:12:09,Both Full,0
2024-09-15 17:12:12,Both Full,0
2024-09-15 17:12:15,Both Full,0
2024-09-15 17:12:17,Both Full,0
2024-09-15 17:12:20,Both Full,0
2024-09-15 17:12:22,ir2,1
2024-09-15 17:12:25,ir2,1
2024-09-15 17:12:28,ir2,1
2024-09-15 17:12:30,ir2,1
2024-09-15 17:12:33,ir2,1
2024-09-15 17:12:35,ir2,1
2024-09-15 17:12:38,ir2,1
2024-09-15 17:12:40,ir2,1
2024-09-15 17:12:43,ir2,1
2024-09-15 17:12:45,ir2,1
2024-09-15 17:12:47,ir2,1
2024-09-15 17:12:50,ir2,1
2024-09-15 17:12:52,ir2,1
2024-09-15 17:12:54,ir2,1
2024-09-15 17:12:56,ir2,1
2024-09-15 17:12:59,ir2,1
2024-09-15 17:13:07,ir2,1
2024-09-15 17:13:09,ir2,1
2024-09-15 17:13:11,ir2,1
2024-09-15 17:13:12,ir2,1
2024-09-15 17:13:14,ir2,1
2024-09-15 17:13:17,ir2,1
2024-09-15 17:13:19,ir2,1
2024-09-15 17:13:21,ir2,1
2024-09-15 17:13:24,ir2,1
2024-09-15 17:13:26,ir2,1
2024-09-15 17:13:29,ir2,1
2024-09-15 17:13:32,ir2,1
2024-09-15 17:13:35,ir2,1
2024-09-15 17:13:37,ir2,1
2024-09-15 17:13:39,ir2,1
2024-09-15 17:13:42,ir2,1
2024-09-15 17:13:44,ir2,1
2024-09-15 17:13:47,ir2,1
2024-09-15 17:13:49,ir2,1
2024-09-15 17:13:52,ir2,1
2024-09-15 17:13:54,ir2,1
2024-09-15 17:13:57,ir2,1
2024-09-15 17:14:00,ir2,1
2024-09-15 17:14:03,ir2,1
2024-09-15 17:14:06,ir2,1
2024-09-15 17:14:09,ir2,1
2024-09-15 17:14:12,ir2,1
2024-09-15 17:14:16,ir2,1
2024-09-15 17:14:19,ir2,1
2024-09-15 17:14:22,ir2,1
2024-09-15 17:14:24,ir2,1
2024-09-15 17:14:27,ir2,1
2024-09-15 17:14:29,ir2,1
2024-09-15 17:14:32,ir2,1
2024-09-15 17:14:35,ir2,1
2024-09-15 17:14:37,ir2,1
2024-09-15 17:14:40,ir2,1
2024-09-15 17:14:42,ir2,1
2024-09-15 17:14:45,ir2,1
2024-09-15 17:14:47,ir2,1
2024-09-15 17:14:50,ir2,1
2024-09-15 17:14:53,ir2,1
2024-09-15 17:14:55,ir2,1
2024-09-15 17:14:57,ir2,1
2024-09-15 17:15:00,ir2,1
2024-09-15 17:15:02,ir2,1
2024-09-15 17:15:05,ir2,1
2024-09-15 17:15:07,ir2,1
2024-09-15 17:15:10,ir2,1
2024-09-15 17:15:12,ir2,1
2024-09-15 17:15:15,ir2,1
2024-09-15 17:15:17,ir2,1
2024-09-15 17:15:20,ir2,1
2024-09-15 17:15:22,ir2,1
2024-09-15 17:15:25,ir2,1
2024-09-15 17:15:28,ir2,1
2024-09-15 17:15:30,ir2,1
2024-09-15 17:15:33,ir2,1
2024-09-15 17:15:36,ir2,1
2024-09-15 17:15:42,ir2,1
2024-09-15 17:15:44,ir2,1
2024-09-15 17:15:47,ir2,1
2024-09-15 17:15:49,ir2,1
2024-09-15 17:15:52,ir2,1
2024-09-15 17:15:54,ir2,1
2024-09-15 17:15:57,ir2,1
2024-09-15 17:16:00,ir2,1
2024-09-15 17:16:03,ir2,1
2024-09-15 17:16:05,ir2,1
2024-09-15 17:16:08,ir2,1
2024-09-15 17:16:11,ir2,1
2024-09-15 17:16:13,ir2,1
2024-09-15 17:16:16,ir2,1
2024-09-15 17:16:19,ir2,1
2024-09-15 17:16:21,ir2,1
2024-09-15 17:16:24,ir2,1
2024-09-15 17:16:26,ir2,1
2024-09-15 17:16:29,ir2,1
2024-09-15 17:16:32,ir2,1
2024-09-15 17:16:35,ir2,1
2024-09-15 17:16:37,ir2,1
2024-09-15 17:16:40,ir2,1
2024-09-15 17:16:42,ir2,1
2024-09-15 17:16:46,ir2,1
2024-09-15 17:16:48,ir2,1
2024-09-15 17:16:51,ir2,1
2024-09-15 17:16:54,ir2,1
2024-09-15 17:16:56,ir2,1
2024-09-15 17:17:00,ir2,1
2024-09-15 17:17:04,ir2,1
2024-09-15 17:17:07,ir2,1
2024-09-15 17:17:10,ir2,1
2024-09-15 17:17:12,ir2,1
2024-09-15 17:17:15,ir2,1
2024-09-15 17:17:18,ir2,1
2024-09-15 17:17:21,ir2,1
2024-09-15 17:17:23,ir2,1
2024-09-15 17:17:27,ir2,1
2024-09-15 17:17:29,ir2,1
2024-09-15 17:17:32,ir2,1
2024-09-15 17:17:34,ir2,1
2024-09-15 17:17:37,ir2,1
2024-09-15 17:17:40,ir2,1
2024-09-15 17:17:42,ir2,1
2024-09-15 17:17:45,Both Full,0
2024-09-15 17:17:48,Both Full,0
2024-09-15 17:17:51,Both Full,0
2024-09-15 17:17:53,Both Full,0
2024-09-15 17:17:56,Both Full,0
2024-09-15 17:17:59,Both Full,0
2024-09-15 17:18:01,Both Full,0
2024-09-15 17:18:04,Both Full,0
2024-09-15 17:18:06,Both Full,0
2024-09-15 17:18:09,Both Full,0
2024-09-15 17:18:12,Both Full,0
2024-09-15 17:18:15,Both Full,0
2024-09-15 17:18:17,Both Full,0
2024-09-15 17:18:20,Both Full,0
2024-09-15 17:18:22,Both Full,0
2024-09-15 17:18:24,Both Full,0
2024-09-15 17:18:27,Free,2
2024-09-15 17:18:30,Free,2
2024-09-15 17:18:32,Free,2
2024-09-15 17:18:35,Free,2
2024-09-15 17:18:37,Free,2
2024-09-15 17:18:40,Free,2
2024-09-15 17:18:43,Free,2
2024-09-15 17:18:46,Free,2
2024-09-15 17:18:48,Free,2
2024-09-15 17:18:51,Free,2
2024-09-15 17:18:53,ir1,1
2024-09-15 17:18:56,ir1,1
2024-09-15 17:18:58,ir1,1
2024-09-15 17:19:01,ir1,1
2024-09-15 17:19:04,ir1,1
2024-09-15 17:19:06,ir1,1
2024-09-15 17:19:09,Both Full,0
2024-09-15 17:19:12,Both Full,0
2024-09-15 17:19:15,Both Full,0
2024-09-15 17:19:17,Both Full,0
2024-09-15 17:19:20,Both Full,0
2024-09-15 17:19:30,Both Full,0
2024-09-15 17:19:33,Both Full,0
2024-09-15 17:19:35,Both Full,0
2024-09-15 17:19:38,Both Full,0
2024-09-15 17:19:40,Both Full,0
2024-09-15 17:19:43,ir2,1
2024-09-15 17:19:46,ir2,1
2024-09-15 17:19:48,ir2,1
2024-09-15 17:19:51,ir2,1
2024-09-15 17:19:53,ir2,1
2024-09-15 17:19:56,ir2,1
2024-09-15 17:19:58,ir2,1
2024-09-15 17:20:02,Free,2
2024-09-15 17:20:04,Free,2
2024-09-15 17:20:07,Free,2
2024-09-15 17:20:09,ir1,1
2024-09-15 17:20:12,Both Full,0
2024-09-15 17:20:15,Both Full,0
2024-09-15 17:20:17,Both Full,0
2024-09-15 17:20:20,Both Full,0
2024-09-15 17:20:23,Both Full,0
2024-09-15 17:20:26,Both Full,0
2024-09-15 17:20:29,Both Full,0
2024-09-15 17:20:32,Both Full,0
2024-09-15 17:20:35,Both Full,0
2024-09-15 17:20:37,Both Full,0
2024-09-15 17:20:40,Both Full,0
2024-09-15 17:20:42,Both Full,0
2024-09-15 17:20:45,Both Full,0
2024-09-15 17:20:48,Both Full,0
2024-09-15 17:20:50,Both Full,0
2024-09-15 17:20:53,Both Full,0
2024-09-15 17:20:56,Both Full,0
2024-09-15 17:20:58,Both Full,0
2024-09-15 17:21:01,Both Full,0
2024-09-15 17:21:06,Both Full,0
2024-09-15 17:21:09,Both Full,0
2024-09-15 17:21:12,Both Full,0
2024-09-15 17:21:14,Both Full,0
2024-09-15 17:21:17,Both Full,0
2024-09-15 17:21:19,Both Full,0
2024-09-15 17:21:22,Both Full,0
2024-09-15 17:21:25,Both Full,0
2024-09-15 17:21:27,Both Full,0
2024-09-15 17:21:30,Both Full,0
2024-09-15 17:21:32,Both Full,0
2024-09-15 17:21:35,Both Full,0
2024-09-15 17:21:38,Both Full,0
2024-09-15 17:21:41,Both Full,0
2024-09-15 17:21:45,Both Full,0
2024-09-15 17:21:47,Both Full,0
2024-09-15 17:21:50,Both Full,0
2024-09-15 17:21:53,Both Full,0
2024-09-15 17:21:55,Both Full,0
2024-09-15 17:21:59,Both Full,0
2024-09-15 17:22:01,Both Full,0
2024-09-15 17:22:04,Both Full,0
2024-09-15 17:22:07,Both Full,0
2024-09-15 17:22:11,Both Full,0
2024-09-15 17:22:14,Both Full,0
2024-09-15 17:22:18,Both Full,0
2024-09-15 17:22:20,Both Full,0
2024-09-15 17:22:23,Both Full,0
2024-09-15 17:22:26,Both Full,0
2024-09-15 17:22:28,Both Full,0
2024-09-15 17:22:32,Both Full,0
2024-09-15 17:22:35,Both Full,0
2024-09-15 17:22:38,Both Full,0
2024-09-15 17:22:41,Both Full,0
2024-09-15 17:22:43,Both Full,0
2024-09-15 17:22:46,Both Full,0
2024-09-15 17:22:49,Both Full,0
2024-09-15 17:22:51,Both Full,0
2024-09-15 17:22:53,Both Full,0
2024-09-15 17:22:56,Both Full,0
2024-09-15 17:22:58,Both Full,0
2024-09-15 17:23:01,Both Full,0
2024-09-15 17:23:04,Both Full,0
2024-09-15 17:23:06,Both Full,0
2024-09-15 17:23:09,Both Full,0
2024-09-15 17:23:12,Both Full,0
2024-09-15 17:23:15,Both Full,0
2024-09-15 17:23:18,Both Full,0
2024-09-15 17:23:21,Both Full,0
2024-09-15 17:23:23,Both Full,0
2024-09-15 17:23:27,Both Full,0
2024-09-15 17:23:30,Both Full,0
2024-09-15 17:23:32,Both Full,0
2024-09-15 17:23:35,Both Full,0
2024-09-15 17:23:38,Both Full,0
2024-09-15 17:23:41,Both Full,0
2024-09-15 17:23:44,Both Full,0
2024-09-15 17:23:47,Both Full,0
2024-09-15 17:23:49,Both Full,0
2024-09-15 17:23:53,Free,2
2024-09-15 17:23:56,Free,2
2024-09-15 17:23:59,Free,2
2024-09-15 17:24:01,Free,2
2024-09-15 17:24:04,Free,2
2024-09-15 17:24:06,Free,2
2024-09-15 17:24:09,Free,2
2024-09-15 17:24:12,Free,2
2024-09-15 17:24:38,Free,2
2024-09-15 17:24:40,Free,2
2024-09-15 17:24:43,Free,2
2024-09-15 17:24:46,Free,2
2024-09-15 17:24:48,Free,2
2024-09-15 17:24:51,Free,2
2024-09-15 17:24:54,ir1,1
2024-09-15 17:24:56,ir1,1
2024-09-15 17:24:59,ir1,1
2024-09-15 17:25:01,Free,2
2024-09-15 17:25:04,Both Full,0
2024-09-15 17:25:06,Both Full,0
2024-09-15 17:25:11,Both Full,0
2024-09-15 17:25:14,Both Full,0
2024-09-15 17:25:17,Both Full,0
2024-09-15 17:25:20,Both Full,0
2024-09-15 17:25:22,Both Full,0
2024-09-15 17:25:25,Both Full,0
2024-09-15 17:25:27,Both Full,0
2024-09-15 17:25:30,Both Full,0
2024-09-15 17:25:33,Both Full,0
2024-09-15 17:25:35,Both Full,0
2024-09-15 17:25:37,Both Full,0
2024-09-15 17:25:40,Both Full,0
2024-09-15 17:25:43,Both Full,0
2024-09-15 17:25:45,Both Full,0
2024-09-15 17:25:47,Both Full,0
2024-09-15 17:25:50,Both Full,0
2024-09-15 17:25:53,Both Full,0
2024-09-15 17:25:55,Both Full,0
2024-09-15 17:25:57,Both Full,0
2024-09-15 17:25:59,Both Full,0
2024-09-15 17:26:02,Both Full,0
2024-09-15 17:26:04,Both Full,0
2024-09-15 17:26:07,Both Full,0
2024-09-15 17:26:10,Both Full,0
2024-09-15 17:26:12,Both Full,0
2024-09-15 17:26:15,Both Full,0
2024-09-15 17:26:17,Both Full,0
2024-09-15 17:26:20,Both Full,0
2024-09-15 17:26:22,Both Full,0
2024-09-15 17:26:25,Both Full,0
2024-09-15 17:26:27,Both Full,0
2024-09-15 17:26:29,Both Full,0
2024-09-15 17:26:32,Both Full,0
2024-09-15 17:26:35,Both Full,0
2024-09-15 17:26:37,Both Full,0
2024-09-15 17:26:40,Both Full,0
2024-09-15 17:26:42,Both Full,0
2024-09-15 17:26:45,Both Full,0
2024-09-15 17:26:48,Both Full,0
2024-09-15 17:26:51,Both Full,0
2024-09-15 17:26:53,Both Full,0
2024-09-15 17:26:56,Both Full,0
2024-09-15 17:26:58,Both Full,0
2024-09-15 17:27:01,Both Full,0
2024-09-15 17:27:03,Both Full,0
2024-09-15 17:27:06,Both Full,0
2024-09-15 17:27:09,Both Full,0
2024-09-15 17:27:11,Both Full,0
2024-09-15 17:27:14,Both Full,0
2024-09-15 17:27:16,Both Full,0
2024-09-15 17:27:19,Both Full,0
2024-09-15 17:27:21,Both Full,0
2024-09-15 17:27:24,Both Full,0
2024-09-15 17:27:26,Both Full,0
2024-09-15 17:27:29,Both Full,0
2024-09-15 17:27:31,Both Full,0
2024-09-15 17:27:33,Both Full,0
2024-09-15 17:27:36,Both Full,0
2024-09-15 17:27:38,Both Full,0
2024-09-15 17:27:41,Both Full,0
2024-09-15 17:27:43,Both Full,0
2024-09-15 17:27:46,Both Full,0
2024-09-15 17:27:48,Both Full,0
2024-09-15 17:27:50,Both Full,0
2024-09-15 17:27:53,Both Full,0
2024-09-15 17:27:55,Both Full,0
2024-09-15 17:27:58,Both Full,0
2024-09-15 17:28:00,Both Full,0
2024-09-15 17:28:03,Both Full,0
2024-09-15 17:28:05,Both Full,0
2024-09-15 17:28:08,Both Full,0
2024-09-15 17:28:11,Both Full,0
2024-09-15 17:28:13,Both Full,0
2024-09-15 17:28:15,Both Full,0
2024-09-15 17:28:18,Both Full,0
2024-09-15 17:28:20,Both Full,0
2024-09-15 17:28:23,Both Full,0
2024-09-15 17:28:25,Both Full,0
2024-09-15 17:28:28,Both Full,0
2024-09-15 17:28:30,Both Full,0
2024-09-15 17:28:32,Both Full,0
2024-09-15 17:28:35,Both Full,0
2024-09-15 17:28:37,Both Full,0
2024-09-15 17:28:39,Both Full,0
2024-09-15 17:28:42,Both Full,0
2024-09-15 17:28:44,Both Full,0
2024-09-15 17:28:46,Both Full,0
2024-09-15 17:28:49,Both Full,0
2024-09-15 17:28:51,Both Full,0
2024-09-15 17:28:54,Both Full,0
2024-09-15 17:28:56,Both Full,0
2024-09-15 17:28:59,Both Full,0
2024-09-15 17:29:02,Both Full,0
2024-09-15 17:29:04,Both Full,0
2024-09-15 17:29:07,Both Full,0
2024-09-15 17:29:09,Both Full,0
2024-09-15 17:29:11,Both Full,0
2024-09-15 17:29:14,Both Full,0
2024-09-15 17:29:16,Both Full,0
2024-09-15 17:29:18,Both Full,0
2024-09-15 17:29:21,Both Full,0
2024-09-15 17:29:23,Both Full,0
2024-09-15 17:29:25,Both Full,0
2024-09-15 17:29:27,Both Full,0
2024-09-15 17:29:29,Both Full,0
2024-09-15 17:29:32,Both Full,0
2024-09-15 17:29:35,Both Full,0
2024-09-15 17:29:37,Both Full,0
2024-09-15 17:29:41,Both Full,0
2024-09-15 17:29:44,Both Full,0
2024-09-15 17:29:47,Both Full,0
2024-09-15 17:29:49,Both Full,0
2024-09-15 17:29:51,Both Full,0
2024-09-15 17:29:54,Both Full,0
2024-09-15 17:29:57,Both Full,0
2024-09-15 17:29:59,Both Full,0
2024-09-15 17:30:02,Both Full,0
2024-09-15 17:30:04,Both Full,0
2024-09-15 17:30:06,Both Full,0
2024-09-15 17:30:09,Both Full,0
2024-09-15 17:30:11,Both Full,0
2024-09-15 17:30:14,Both Full,0
2024-09-15 17:30:16,Both Full,0
2024-09-15 17:30:18,Both Full,0
2024-09-15 17:30:21,Both Full,0
2024-09-15 17:30:23,Both Full,0
2024-09-15 17:30:25,Both Full,0
2024-09-15 17:30:28,Both Full,0
2024-09-15 17:30:30,Both Full,0
2024-09-15 17:30:33,Both Full,0
2024-09-15 17:30:35,Both Full,0
2024-09-15 17:30:38,Both Full,0
2024-09-15 17:30:41,Both Full,0
2024-09-15 17:30:43,Both Full,0
2024-09-15 17:30:46,Both Full,0
2024-09-15 17:30:48,Both Full,0
2024-09-15 17:30:51,Both Full,0
2024-09-15 17:30:53,Both Full,0
2024-09-15 17:30:55,Both Full,0
2024-09-15 17:30:58,Both Full,0
2024-09-15 17:31:01,Both Full,0
2024-09-15 17:31:04,Both Full,0
2024-09-15 17:31:07,Both Full,0
2024-09-15 17:31:09,Both Full,0
2024-09-15 17:31:12,Both Full,0
2024-09-15 17:31:14,Both Full,0
2024-09-15 17:31:17,Both Full,0
2024-09-15 17:31:19,Both Full,0
2024-09-15 17:31:21,Both Full,0
2024-09-15 17:31:24,Both Full,0
2024-09-15 17:31:26,Both Full,0
2024-09-15 17:31:29,Both Full,0
2024-09-15 17:31:31,Both Full,0
2024-09-15 17:31:34,Both Full,0
2024-09-15 17:31:36,Both Full,0
2024-09-15 17:31:39,ir2,1
2024-09-15 17:31:41,ir2,1
2024-09-15 17:31:44,ir2,1
2024-09-15 17:31:46,ir2,1
2024-09-15 17:31:48,ir2,1
2024-09-15 17:31:51,ir2,1
2024-09-15 17:31:53,ir2,1
2024-09-15 17:31:56,ir2,1
2024-09-15 17:31:58,ir2,1
2024-09-15 17:32:00,ir2,1
2024-09-15 17:32:03,ir2,1
2024-09-15 17:32:05,ir2,1
2024-09-15 17:32:08,ir2,1
2024-09-15 17:32:11,ir2,1
2024-09-15 17:32:13,ir2,1
2024-09-15 17:32:15,ir2,1
2024-09-15 17:32:18,ir2,1
2024-09-15 17:32:21,ir2,1
2024-09-15 17:32:23,ir2,1
2024-09-15 17:32:26,ir2,1
2024-09-15 17:32:28,ir2,1
2024-09-15 17:32:30,ir2,1
2024-09-15 17:32:33,ir2,1
2024-09-15 17:32:35,ir2,1
2024-09-15 17:32:37,ir2,1
2024-09-15 17:32:40,ir2,1
2024-09-15 17:32:42,ir2,1
